event_url,subtype,product_url,Should map to product,product_title,price_gbp,availability,date_start,date_end,start_time,end_time,event_location,map_method,confidence,participants,fitness_level,event_title,json_price,json_availability,price_currency
https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-autumn,workshop,https://www.alanranger.com/photo-workshops-uk/peak-district-heather-photography-workshop,https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire,PEAK DISTRICT HEATHER Photography Workshops - 16-17 Aug,145,InStock,,,,,,auto,0.9,,,,,,
https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-autumn-2,workshop,https://www.alanranger.com/photo-workshops-uk/peak-district-heather-photography-workshop,https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire,PEAK DISTRICT HEATHER Photography Workshops - 16-17 Aug,145,InStock,,,,,,auto,0.9,,,,,,
https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-heathers-sunrise,workshop,https://www.alanranger.com/photo-workshops-uk/peak-district-heather-photography-workshop,https://www.alanranger.com/photo-workshops-uk/peak-district-heather-photography-workshop,PEAK DISTRICT HEATHER Photography Workshops - 16-17 Aug,145,InStock,,,,,,auto,0.9,,,,,,
https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-heathers-sunset,workshop,https://www.alanranger.com/photo-workshops-uk/peak-district-heather-photography-workshop,https://www.alanranger.com/photo-workshops-uk/peak-district-heather-photography-workshop,PEAK DISTRICT HEATHER Photography Workshops - 16-17 Aug,145,InStock,,,,,,auto,0.9,,,,,,
https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-spring,workshop,https://www.alanranger.com/photo-workshops-uk/peak-district-heather-photography-workshop,https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire,PEAK DISTRICT HEATHER Photography Workshops - 16-17 Aug,145,InStock,,,,,,auto,0.9,,,,,,
https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-sunrise-heathers,workshop,https://www.alanranger.com/photo-workshops-uk/peak-district-heather-photography-workshop,https://www.alanranger.com/photo-workshops-uk/peak-district-heather-photography-workshop,PEAK DISTRICT HEATHER Photography Workshops - 16-17 Aug,145,InStock,2024-08-24T04:15:00+00:00,2024-08-24T08:30:00+00:00,04:15:00,08:30:00,Staffordshire - Upper Hulme,auto,0.9,,,,,,
https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-winter,workshop,https://www.alanranger.com/photo-workshops-uk/peak-district-heather-photography-workshop,https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire,PEAK DISTRICT HEATHER Photography Workshops - 16-17 Aug,145,InStock,,,,,,auto,0.9,,,,,,
https://www.alanranger.com/photographic-workshops-near-me/poppy-fields-photography-workshop-sunrise,workshop,https://www.alanranger.com/photo-workshops-uk/photography-workshops-lavender-fields,https://www.alanranger.com/photo-workshops-uk/photography-workshops-lavender-fields,LAVENDER FIELD Photography Workshop - Gloucestershire July,150,InStock,2024-06-09T04:00:00+00:00,2024-06-09T06:30:00+00:00,04:00:00,06:30:00,Worcestershire,auto,0.9,,,,,,
https://www.alanranger.com/photographic-workshops-near-me/poppy-fields-photography-workshop-sunset,workshop,https://www.alanranger.com/photo-workshops-uk/photography-workshops-lavender-fields,https://www.alanranger.com/photo-workshops-uk/photography-workshops-lavender-fields,LAVENDER FIELD Photography Workshop - Gloucestershire July,150,InStock,2024-06-08T18:15:00+00:00,2024-06-08T20:45:00+00:00,18:15:00,20:45:00,Worcestershire,auto,0.9,,,,,,
https://www.alanranger.com/photographic-workshops-near-me/suffolk-landscape-photography-workshop,workshop,https://www.alanranger.com/photo-workshops-uk/long-exposure-photography-kenilworth,https://www.alanranger.com/photo-workshops-uk/suffolk-landscape-photography-workshops,Long Exposure Photography Workshop KENILWORTH Sunset,65,InStock,,,,,,auto,0.9,,,,,,
