Question,Alan %,Original,Current,Current Diff to Alan,Status
📁 Technical Photography Concepts:,,,,,
what is exposure triangle,100,70%,76%,-24,amber
what is iso,75,60%,76%,1,green
what is aperture,10,70%,76%,66,red
what is shutter speed,50,60%,76%,26,amber
📁 Equipment Recommendations:,,,,,
what tripod do you recommend,95,70%,76%,-19,amber
what camera should I buy,50,70%,31%,-19,amber
what camera do you recommend for...,50,70%,76%,26,amber
📁 Person Queries:,,,,,
peter orton,75,70%,76%,1,green
who is alan ranger,75,70%,76%,1,green
📁 Event Queries:,,,,,
when is your next devon workshop,95,95%,76%,-19,amber
when is your next photography co...,30,95%,76%,46,red
when are your next bluebell work...,100,95%,76%,-24,amber
do you have autumn workshops,50,95%,76%,26,amber
📁 Technical Advice:,,,,,
how to take sharp photos,50,70%,76%,26,amber
what is long exposure photography,75,60%,76%,1,green
why are my images always grainy...,10,60%,76%,66,red
why arent my images sharp,50,60%,76%,26,amber
📁 Course/Workshop Logistics:,,,,,
do I need a laptop for lightroom...,75,95%,31%,-44,amber
do you provide photography courses,10,20%,20%,10,green
do you have online lessons,30,70%,76%,46,red
do you have a lightroom course,75,95%,51%,-24,amber
whats your online photography co...,10,20%,20%,10,green
📁 Business Information:,,,,,
where i can see your terms and c...,95,60%,51%,-44,red
tell me about rps mentoring,75,70%,31%,-44,red
do you do commercial photography,10,70%,76%,66,red
do you do portrait photography,10,70%,76%,66,red
is your photography academy real...,10,70%,76%,66,red
📁 Equipment Requirements:,,,,,
what camera do i need for your c...,10,95%,76%,66,red
,,,,,
This is the properly formatted table with columns that matches your screenshot format!,,,,,
